website,name,link,salary_min,salary_max,salary_currency,employer,address
hh.ru,Senior Data Scientist,https://spb.hh.ru/vacancy/55297453,,,,Marksman,Москва
hh.ru,Аналитик (Data Scientist),https://spb.hh.ru/vacancy/53316766,,,,ПАО БАНК УРАЛСИБ,Москва
hh.ru,Data Scientist,https://spb.hh.ru/vacancy/55171134,4000.0,,руб,Wisebits,Москва
hh.ru,Data Scientist,https://spb.hh.ru/vacancy/55232568,,,,"ООО Mars (CHOCOLATE, PETCARE, FOOD)",Москва
hh.ru,Data Scientist,https://spb.hh.ru/vacancy/53926467,150000.0,250000.0,руб,Бизнес Трэвел Джоб,Москва
hh.ru,Data scientist (опыт со scoring моделями),https://spb.hh.ru/vacancy/55277595,,,,ООО Кадровый Метод,Москва
hh.ru,Middle Data Scientist/Data Analyst,https://spb.hh.ru/vacancy/52305783,,,,ООО START.RU,"Москва, Киевская и еще 1 "
hh.ru,ML Engineer/Data Scientist,https://spb.hh.ru/vacancy/55108462,,,,Gurtam,Минск
hh.ru,Head of Data Science,https://spb.hh.ru/vacancy/55205459,,,,Tele2,"Москва, Румянцево"
hh.ru,Data scientist,https://spb.hh.ru/vacancy/55117625,,,,Сбер. IT,Москва
hh.ru,Data Scientist (Валидация скоринговых моделей),https://spb.hh.ru/vacancy/55127483,,,,Банк ВТБ (ПАО),Казань
hh.ru,Data Scientist,https://spb.hh.ru/vacancy/55120849,,,,Бэнкс Софт Системс,Самара
hh.ru,Data Scientist,https://spb.hh.ru/vacancy/55120848,,,,Бэнкс Софт Системс,Нижний Новгород
hh.ru,Data Scientist,https://spb.hh.ru/vacancy/55120850,,,,Бэнкс Софт Системс,Казань
hh.ru,Data Scientist (Валидация скоринговых моделей),https://spb.hh.ru/vacancy/55127484,,,,Банк ВТБ (ПАО),Нижний Новгород
hh.ru,Middle Data Scientist,https://spb.hh.ru/vacancy/54689328,,,,Schlumberger Telecommunications and Information Security Systems LLC. Заводы и Наука,Новосибирск
hh.ru,Data Scientist / ML-инженер,https://spb.hh.ru/vacancy/55079861,,,,Медиалогия,"Москва, Дмитровская"
hh.ru,Junior Data Scientist for NLP (Python),https://spb.hh.ru/vacancy/55046966,,,,ООО Алгоритмические Системы,Москва
hh.ru,Data Scientist - Risk Models Developer,https://spb.hh.ru/vacancy/55049120,,,,UniCredit Bank,"Москва, Парк культуры"
hh.ru,Data Scientist,https://spb.hh.ru/vacancy/54738403,,,,ФГБУ ЦСП ФМБА России,"Москва, Покровское и еще 3 "
hh.ru,Data Scientist,https://spb.hh.ru/vacancy/55120851,,,,Бэнкс Софт Системс,Краснодар
hh.ru,Data Scientist,https://spb.hh.ru/vacancy/55022964,,,,"Beeline, ТМ",Алматы
hh.ru,Middle Data Scientist,https://spb.hh.ru/vacancy/55204390,,,,Контур,Нижний Новгород
hh.ru,Data Engineer,https://spb.hh.ru/vacancy/55120832,,,,"Иннотех, Группа компаний",Москва
hh.ru,Commercial Data Scientist / Эксперт по наукоемким методам анализа данных в сфере маркетинга и продаж,https://spb.hh.ru/vacancy/55048457,,,,Bayer,"Москва, Сокольники"
hh.ru,Middle/Senior Data Scientist,https://spb.hh.ru/vacancy/55051085,200000.0,,руб,JuicyScore,Москва
hh.ru,Data Scientist в команду Automated Moderation (antifraud),https://spb.hh.ru/vacancy/55081674,,,,АВИТО ТЕХ: разработка,"Москва, Белорусская"
hh.ru,Team Lead Data Science,https://spb.hh.ru/vacancy/54552531,,,,ООО «Газпромнефть-Региональные продажи»,Санкт-Петербург
hh.ru,Senior Data Scientist (UA),https://spb.hh.ru/vacancy/54618349,,,,Playrix,Москва
hh.ru,Data Scientist (Middle/Senior),https://spb.hh.ru/vacancy/54979940,,,,АО РТ Лабс,Санкт-Петербург
hh.ru,Junior Data Scientist,https://spb.hh.ru/vacancy/55052496,50000.0,,руб,Theyr Ltd,Ростов-на-Дону
hh.ru,ML инженер / Data Scientist,https://spb.hh.ru/vacancy/55130518,,,,ООО Go Mobile,"Москва, Маяковская и еще 2 "
hh.ru,Data Scientist,https://spb.hh.ru/vacancy/54964204,,,,Andersen,Нур-Султан
hh.ru,Data Scientist,https://spb.hh.ru/vacancy/54949393,,,,Selecty,Москва
hh.ru,"Bioinformatics scientist, Yerevan",https://spb.hh.ru/vacancy/55019585,,,,ООО БОСТОНДЖИН,"Москва, Павелецкая"
hh.ru,Data Scientist,https://spb.hh.ru/vacancy/55120847,,,,Бэнкс Софт Системс,Санкт-Петербург
hh.ru,Senior Research Engineer / Data Scientist,https://spb.hh.ru/vacancy/50996908,,,,The Skolkovo Institute of Science and Technology,"Москва, Славянский бульвар"
hh.ru,Middle-Senior Data Scientist,https://spb.hh.ru/vacancy/55035088,,,,АО Гринатом,Москва
hh.ru,Lead Data Scientist (Кампании продаж),https://spb.hh.ru/vacancy/55073338,,,,Сбер. Data Science,"Москва, Кутузовская"
hh.ru,Senior Data Scientist на продукт рекламная платформа МТС,https://spb.hh.ru/vacancy/55243594,,,,"ПАО «МТС», IT","Москва, Технопарк"
hh.ru,Data Scientist Senior (корпоративные риски),https://spb.hh.ru/vacancy/54969444,,,,Ак Барс Банк,Москва
hh.ru,Data - инженер,https://spb.hh.ru/vacancy/55064656,,,,Сбер. Data Science,Москва
hh.ru,Аналитик данных (ДАиМ),https://spb.hh.ru/vacancy/55044151,,,,ЗАО Банк Компаньон,Бишкек
hh.ru,Data Analytics Lead,https://spb.hh.ru/vacancy/55231543,,,,"ООО Mars (CHOCOLATE, PETCARE, FOOD)",Москва
hh.ru,Data Analytics Lead,https://spb.hh.ru/vacancy/55195298,,,,ООО Вераксен Бел,Минск
hh.ru,Data scientist,https://spb.hh.ru/vacancy/53380405,,,,ООО СберОбразование,Санкт-Петербург
hh.ru,Спикер на курс по Data Science (Machine Learning),https://spb.hh.ru/vacancy/54412835,,,,Skillbox,Москва
hh.ru,Python Developer (Middle),https://spb.hh.ru/vacancy/55517531,,,,Сбер. Data Science,Москва
hh.ru,Ведущий менеджер по целевому маркетингу (crm-маркетинг),https://spb.hh.ru/vacancy/55088959,,,,билайн,Москва
hh.ru,Oracle developer,https://spb.hh.ru/vacancy/55475197,,,,ООО Лайфтех,"Минск, Пушкинская"
hh.ru,Project Manager (Monetization),https://spb.hh.ru/vacancy/55164994,,,,FUNCORP,Кипр
hh.ru,Продакт-менеджер,https://spb.hh.ru/vacancy/54032844,250000.0,,руб,РОССКО,Москва
hh.ru,Портфельный риск-менеджер(автокредитование),https://spb.hh.ru/vacancy/51986114,,,,Ак Барс Банк,Казань
hh.ru,UX дизайнер,https://spb.hh.ru/vacancy/55499096,,,,Сбер. IT,Москва
hh.ru,Риск-аналитик (розничные риски),https://spb.hh.ru/vacancy/52910056,,,,Ак Барс Банк,Казань
hh.ru,Системный аналитик,https://spb.hh.ru/vacancy/55432866,,,,Сбер. IT,Рязань
hh.ru,QA Automation Engineer (Python),https://spb.hh.ru/vacancy/55421899,,,,Сбер. IT,Москва
hh.ru,Scala разработчик,https://spb.hh.ru/vacancy/55421975,,,,Сбер. IT,Москва
hh.ru,Аналитик по противодействию мошенничеству (антифрод),https://spb.hh.ru/vacancy/54511373,,,,IQsоft,Новосибирск
hh.ru,Продакт-менеджер (бренд Lynx),https://spb.hh.ru/vacancy/54848643,250000.0,,руб,РОССКО,Москва
hh.ru,Middle/Senior разработчик систем компьютерного зрения (Data Scientist),https://spb.hh.ru/vacancy/55388072,,,,Университет Иннополис,Казань
